technology,global_cycle_seconds,resolution,energy,area,action
40nm,1e-9,8,0.291,438,read|convert
40nm,1e-9,8,0,438,update|write|leak

# H. Chen,X. Zhot,F. Zhang and Q. Li,"A >3GHz ERBW 1.1GS/S 8B Two-Sten SAR ADC
# with,Q. Yu Recursive-Weight DAC," 2018 IEEE Symposium on VLSI Circuits,pp.
# 97-98,2018 doi: 10.1109/VLSIC.2018.8502370.
# Reported energy: 0.32mW @ 1.1GHz
# SAR ADC, so the DAC does 1 8b convert for every convert
# E/op: .32e-3 W * 1 / 1.1e9 seconds * 1e12pJ/J = 
# .32e-3 / 1.1e9 * 1e12 = 0.291pJ/convert
# Area from chip picture:
# (Picture was scaled when I screencapped it)
# 1629px * 743px / (2805px * 1625px) * 75e-6m * 22e-6m
# = 1629 * 743 / (2805 * 1625) * 75 * 22 = 438um^2